Variable/Field name,Variable ,Type of Variable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ant_taba,History of smoking,Dichotomous,0= No,1= Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
icu,Patient admitted to the ICU ,Dichotomous,0= No,1= Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
int_24h,Interventions received the first 24 hours,Nominal ,Non-invasive Ventilation,Invasive Mechanical Ventilation,,Vasopressors (Norepinephrine or Dopamine),,Inotropics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ant_mdrd,"Infection by MRSA, Pseudomona, BLEE in the last year ",Dichotomous,0= No,1= Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mdr,Which infection or colonization in the last year ,Nominal ,1=SAMR,2=P. aeruginosa,3=Enterobacteriaceae producing extended-spectrum beta-lactamases (ESBL),4=Enterobacteriaceae resistant to broad-spectrum cephalosporins (BS-CBR),5=Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sosp_covid,COVID diagnosis ,Dichotomous,0= No,1= Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vac_covid,COVID vaccine ,Dichotomous,0= No,1= Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ab_24h,Which antibiotics were administrated in the first 24 hours of admission ,Nominal ,1=Amikacin,2=Amoxicillin,3=Amoxicillin/Clavulanate,4=Ampicillin,5=Ampicillin/Sulbactam,6=Cefazolin,7=Cefepime,8=Ceftaroline,9=Ceftazidime,10=Ceftazidime/Avibactam,11=Ceftriaxone,12=Cefuroxime,13=Ciprofloxacin,14=Clarithromycin,15=Clindamycin,16=Colistin,17=Daptomycin,18=Doripenem,19=Ertapenem,20=Fosfomycin,21=Gentamicin,22=Imipenem,23=Linezolid,24=Meropenem,25=Oxacillin,26=Penicillin Sodium,27=Piperacillin/Tazobactam,28=Polymyxin B,29=Rifampicin,30=Tigecycline,31=Trimethoprim/Sulfamethoxazole,32=Vancomycin,33=Others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
criteria,Patient has severity criteria according to IDSA/ATS,Dichotomous,0= No,1= Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
minor_criteria,Minor criteria for pneumonia that the patient meets,Nominal ,Respiratory rate greater than 30,Pa/FiO2 less than 250 mmHg,Multilobar involvement,Confusion/disorientation,BUN greater than 20 mg/dL,"Leukopenia less than 4,000",Hypotension requiring intensive fluid support,Hypothermia less than 36°C,Thrombocytopenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
major_criteria,Major criteria for pneumonia that the patient meets ,Nominal ,Invasive Mechanical Ventilation,Shock ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sev_criteria,Meets with severity criteria according to IDSA/ATS (1 major or 3 minor) ,Dichotomous,0= No,1= Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admission_sofa,SOFA scale at admission ,Discrete ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admission_curb,CURB 65 at admission. ,Discrete ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admission_psi,PSI at admission ,Discrete ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In-hospital Follow-up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hosp_stay,Hospital setting ,Nominal,0= Emergency,1= General hospitalization ,2= Intensive Care Unit,3= Intermediate Care Unit ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ab_empiric,Patient received empiric antibiotic,Dichotomous,0= No,1= Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ab_empiric_2,Name of the empiric antibiotic that the patient received,Nominal,1=Amikacin,2=Ampicillin,3=Ampicillin/sulbactam,4=Cephazolin,5=Cefepime,6=Ceftaroline,7=Ceftazidime,8=Ceftazidime/Avibactam,9=Ceftriaxone,10=Cefuroxime,11=Ciprofloxacin,12=Clarithromycin,13=Clindamycin,14=Colistin,15=Daptomycin,16=Doripenem,17=Ertapenem,18=Fosfomycin,19=Gentamicin,20=Imipenem,21=Linezolid,22=Meropenem,23=Metronidazole,24=Oxacillin,25=Sodium penicillin,26=Piperacillin tazobactam,27=Polymyxin B,28=Rifampicin,29=Tigecycline,30=Trimethoprim/sulfamethoxazole,31=Vancomycin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ab_conjug,Patient received more than one empiric antibiotic,Dichotomous,0= No,1= Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
